feature,importance
success_streak,0.05897884
test_coverage,0.058585
major_version_changes,0.05419602
previous_failures_7d,0.045610942
outdated_dependencies,0.044748697
failure_rate_7d,0.035467118
files_changed,0.034346405
flaky_test_count,0.030314654
lines_added,0.027962534
mean_time_to_recovery,0.027419332
failure_momentum,0.025964811
dependency_health,0.025952617
failure_rate_30d,0.02558854
is_weekend,0.025485257
test_per_file,0.025402706
complexity_score,0.025295835
minor_version_changes,0.025208812
build_efficiency,0.025162945
total_dependencies,0.024946421
lines_deleted,0.02493632
review_time_hours,0.024833122
avg_build_time,0.02441344
cache_hit_ratio,0.024312805
add_delete_ratio,0.02416108
team_efficiency,0.02402269
hour_of_day,0.023965739
test_count,0.023767052
change_density,0.02374093
build_queue_time,0.023584384
day_of_week,0.023513235
is_business_hours,0.022952788
previous_failures_30d,0.022583602
team_size,0.021479841
commits_last_24h,0.021095427
